latitude,longitude,rwi,error,pm25,pm25_distance,wealth_quartile,region
4.4669035,101.5905762,-0.276,0.511,14.847522,0.004817005251632927,Q2 (Lower-Mid),Central
4.5545219,115.0598145,-0.444,0.516,10.943788,0.004837859785319272,Q1 (Poorest),Sabah
2.8223442,102.4475098,-0.237,0.525,17.00472,0.003654333716645641,Q2 (Lower-Mid),Southern
5.0362268,115.5432129,0.477,0.527,12.030744,0.0021662404898871953,Q4 (Richest),Sabah
5.1894234,119.2565918,0.045,0.536,12.937791,0.004702079601993431,Q3 (Upper-Mid),Sabah
5.0362268,118.8391113,-0.191,0.579,12.46513,0.0042913551701356,Q2 (Lower-Mid),Sabah
5.080001,101.986084,-0.166,0.5,15.135555,0.0051150870496247365,Q2 (Lower-Mid),Central
4.3792747,101.151123,1.209,0.54,20.876612,0.005770158164911641,Q4 (Richest),Central
6.5445599,100.2502441,0.488,0.513,13.9327345,0.004773491655430832,Q4 (Richest),Northern
3.3269861,113.6315918,-0.169,0.52,12.607166,0.0039464917341731935,Q2 (Lower-Mid),Sarawak
5.5394455,102.8869629,0.594,0.517,14.733665,0.0048588498116456,Q4 (Richest),Northern
5.1237722,118.7512207,-0.905,0.495,10.643498,0.003971126862583931,Q1 (Poorest),Sabah
6.3480564,100.3601074,0.473,0.536,17.178247,0.005767104941091124,Q4 (Richest),Northern
2.6248138,101.7883301,-0.083,0.515,20.939556,0.00333164516120179,Q2 (Lower-Mid),Southern
4.3573658,118.3557129,-0.432,0.512,16.020384,0.0024698928631303797,Q1 (Poorest),Sabah
5.9111167,116.2243652,0.12,0.525,11.696683,0.003934559534640688,Q3 (Upper-Mid),Sabah
1.7685179,111.1047363,-0.364,0.511,13.135089,0.0035280363467390507,Q2 (Lower-Mid),Sarawak
3.7217452,102.6013184,0.391,0.542,17.97877,0.004916503823625796,Q4 (Richest),Central
5.3644596,119.2126465,0.295,0.566,10.1924925,0.0024111248306735817,Q3 (Upper-Mid),Sabah
4.7078283,103.326416,0.043,0.491,14.227468,0.0031643988925999815,Q3 (Upper-Mid),Central
4.510714,118.5314941,0.572,0.57,10.193904,0.005539465473481086,Q4 (Richest),Sabah
5.6925158,102.6452637,-0.158,0.518,15.445186,0.0024986840451795703,Q2 (Lower-Mid),Northern
6.5445599,100.2062988,0.518,0.518,14.274365,0.0013696290062836678,Q4 (Richest),Northern
2.3394375,102.557373,-0.571,0.512,15.470038,0.005031972617765124,Q1 (Poorest),Southern
5.101887,118.3776855,-0.113,0.503,12.355132,0.00411130125409014,Q2 (Lower-Mid),Sabah
6.1951683,100.3820801,0.497,0.553,19.225004,0.0029268691242423602,Q4 (Richest),Northern
5.7799663,102.2717285,-0.342,0.547,16.794554,0.005947763180941807,Q2 (Lower-Mid),Northern
5.0362268,100.4699707,0.158,0.526,21.378714,0.005123445232279,Q3 (Upper-Mid),Central
3.5024552,102.5354004,0.407,0.542,18.430422,0.0025756534055362927,Q4 (Richest),Central
4.2039864,101.8103027,-0.458,0.54,17.700441,0.004807785310141452,Q1 (Poorest),Central
2.4711573,103.8317871,0.489,0.539,12.813293,0.0050082386739076735,Q4 (Richest),Southern
4.0286586,113.807373,-0.23,0.488,8.353154,0.004360543185818777,Q2 (Lower-Mid),Sabah
5.3425828,119.2126465,0.085,0.541,10.507855,0.0033709909075415084,Q3 (Upper-Mid),Sabah
4.1601581,101.3269043,0.159,0.54,18.113285,0.005204000089528365,Q3 (Upper-Mid),Central
5.4738318,117.8503418,-0.441,0.469,13.169189,0.004805682207325661,Q1 (Poorest),Sabah
3.3489215,102.4255371,0.135,0.497,18.52369,0.003957669185994572,Q3 (Upper-Mid),Southern
1.4170918,103.458252,0.428,0.505,18.126875,0.0038651500625737846,Q4 (Richest),Southern
3.7655967,103.3044434,0.513,0.569,15.276675,0.0008161305552290329,Q4 (Richest),Central
3.5024552,102.2277832,0.218,0.541,18.831757,0.003772437903036817,Q3 (Upper-Mid),Central
